userID,subscribers,videoviews,channeltype,grade,MonthlyEarnings,YearlyEarnings
Movieclips Coming Soon,2320759,2396409921,Film,B+,€7.7K - €123.8K,€92.9K - €1.5M
Oddbods - Official Channel,3534622,2394135867,Film,A,€22.5K - €359.4K,€269.5K - €4.3M
KendrickLamarVEVO,7081637,2389027409,Music,B+,€7.8K - €124.7K,€93.5K - €1.5M
NhacPro Tube,4107724,2381894670,Music,B+,€9.6K - €153.1K,€114.8K - €1.8M
PlayToys,5578182,2376984568,Entertainment,B+,€25.9K - €414.2K,€310.6K - €5M
Yuya,23501019,2376565163,Howto,B,€1.9K - €29.7K,€22.3K - €356.3K
????? ???????? ?…,7930269,2375694635,People,A,€45.3K - €725.3K,€544K - €8.7M
NirvanaVEVO,3082261,2375608073,Music,B+,€9K - €143.7K,€107.8K - €1.7M
LazarBeam,9277149,2370094704,Games,A,€53.9K - €862.1K,€646.6K - €10.3M
TygaVEVO,3559312,2368121731,Music,A,€20.2K - €323.8K,€242.8K - €3.9M
PULCINO PIO,4053979,2365929739,Music,B+,€3.2K - €51K,€38.3K - €612.3K
??????,3812629,2363090777,Entertainment,A-,€13.9K - €223.1K,€167.3K - €2.7M
?ÔNG TÂY PROMOTION OFFICIAL,4164711,2355402527,Entertainment,B+,€10.5K - €168.8K,€126.6K - €2M
Family Playlab,3668359,2347200982,Entertainment,B+,€9.7K - €154.4K,€115.8K - €1.9M
DIEN QUAN Entertainment / Gi?i…,3401863,2344736693,Entertainment,A-,€7.5K - €119.9K,€89.9K - €1.4M
?? TV,2516608,2338649851,Games,B+,€5.3K - €85.3K,€64K - €1M
planbVEVO,2835016,2330485380,Music,B+,€3.6K - €57.1K,€42.8K - €685.3K
Julia MineGirl,4006517,2326014917,Games,A,€22.4K - €359.1K,€269.3K - €4.3M
????,2513593,2306769210,Games,A-,€11.2K - €178.7K,€134K - €2.1M
Monstercat: Uncaged,7286258,2303926940,Music,B+,€6K - €96.4K,€72.3K - €1.2M
PietSmiet,2324396,2297894750,Entertainment,B+,€4.4K - €71K,€53.3K - €852.6K
systemofadownVEVO,2906471,2297272485,Music,B+,€9.1K - €145.7K,€109.3K - €1.7M
Telefe,2833187,2296046397,Entertainment,A-,€14K - €224.1K,€168.1K - €2.7M
OYUNCAKOYNUYORUM,4568711,2295038311,Entertainment,A,€46.3K - €740.8K,€555.6K - €8.9M
Ghi?n Mì Gõ,4003583,2287709502,Entertainment,A,€16.4K - €261.7K,€196.3K - €3.1M
TMG Record Channel,3781067,2286320547,Music,B+,€9.6K - €153.1K,€114.8K - €1.8M
Toy Candy,3674798,2285508840,Education,B,€3.1K - €49.5K,€37.1K - €593.6K
Be?ikta? Kültür Merkezi (BKM),1987226,2283178244,Comedy,A-,€15.1K - €241.4K,€181.1K - €2.9M
CAguileraVEVO,2590601,2282484690,Music,B+,€5.6K - €89K,€66.8K - €1.1M
AzzyLand,7974060,2282278176,Games,A,€53.1K - €850.1K,€637.6K - €10.2M
UnspeakableGaming,6924072,2281036923,Games,A,€16K - €256.1K,€192.1K - €3.1M
Nek Music Tv,2538026,2276670049,Music,A-,€14K - €223.4K,€167.5K - €2.7M
Zee Tamil,4178306,2275652305,Entertainment,A,€30.6K - €489.2K,€366.9K - €5.9M
Maria Clara & JP,8400461,2266464928,People,A+,€41.6K - €665.7K,€499.3K - €8M
johnlegendVEVO,4113360,2265616526,Music,B+,€7.7K - €123.3K,€92.5K - €1.5M
YandelVEVO,3365209,2264868563,Music,B+,€4.4K - €70K,€52.5K - €840.1K
Azteca Novelas,3345926,2263715518,Entertainment,A-,€13.8K - €220.2K,€165.2K - €2.6M
Surya Citra Televisi (SCTV),4395949,2254707963,Entertainment,A,€38.1K - €609.3K,€457K - €7.3M
FaZe Rug,11669354,2251162363,Games,A-,€9.3K - €148.3K,€111.2K - €1.8M
YEAH1 MUSIC,2264549,2249778734,Music,B+,€8.7K - €139.8K,€104.8K - €1.7M
BibisBeautyPalace,5602127,2248940761,Howto,B+,€4.5K - €72.8K,€54.6K - €873.5K
The LaBrant Fam,8704805,2234288859,People,A,€19.5K - €311.5K,€233.6K - €3.7M
KiKiDo,4235891,2233314480,People,A,€39.3K - €628.3K,€471.2K - €7.5M
Walt Disney Animation Studios,3486583,2231639583,Film,B+,€4.3K - €68.3K,€51.2K - €819.4K
Chill Nation,7832596,2231433180,Music,A,€17.6K - €282K,€211.5K - €3.4M
O Reino Infantil,3719939,2230495471,Music,A,€21.3K - €341.5K,€256.1K - €4.1M
Christina Perri,4609430,2229469541,Music,B+,€9K - €144K,€108K - €1.7M
The King of Random,11052227,2227363323,Education,B+,€9.6K - €152.9K,€114.6K - €1.8M
Les' Copaque Production,4217039,2224631448,Film,A,€24K - €383.9K,€287.9K - €4.6M
WOW ENGLISH TV,2843114,2222828534,Education,A,€22.4K - €358.5K,€268.9K - €4.3M
TheSkylanderBoy AndGirl,2347651,2221586519,Games,B+,€3.2K - €50.6K,€37.9K - €606.9K
MediaPro Music,2934681,2218291382,Music,B+,€5.7K - €91.8K,€68.9K - €1.1M
FOX,2187312,2213281572,Entertainment,A-,€12.9K - €206K,€154.5K - €2.5M
???? ?? ???????,4603158,2204678091,Entertainment,A,€22.8K - €364K,€273K - €4.4M
Stephen Sharer,6197326,2203033769,Entertainment,A,€19.9K - €318K,€238.5K - €3.8M
BANGTANTV,16238069,2195972072,Music,A,€16.8K - €269.4K,€202.1K - €3.2M
ExtraPolinesios,12572613,2195698268,People,A-,€12.1K - €193K,€144.7K - €2.3M
Toys Make Me Smile,6791155,2195095578,Entertainment,A,€39.8K - €636.9K,€477.7K - €7.6M
StarPlus,8936379,2193504656,Entertainment,A,€27.2K - €436K,€327K - €5.2M
T-Series Regional,5314563,2191659720,Music,A,€23.5K - €376.7K,€282.5K - €4.5M
5-Minute Crafts KIDS,11901649,2190071882,Howto,A,€36.2K - €579.1K,€434.3K - €6.9M
ExtremeToys TV,4115776,2188321220,Entertainment,A,€21.3K - €341K,€255.8K - €4.1M
Dance India Dance,4586474,2187335642,Entertainment,A,€16.7K - €266.8K,€200.1K - €3.2M
EvanTubeRAW,3577906,2179916099,People,B+,€3.2K - €50.7K,€38K - €608.4K
Kids Fun,9841511,2173858967,Entertainment,A,€20.3K - €324.8K,€243.6K - €3.9M
Larva TUBA,4726405,2172522099,Film,A-,€15K - €240.3K,€180.2K - €2.9M
chayanneVEVO,2038878,2167293361,Music,B+,€7K - €111.7K,€83.8K - €1.3M
VenturianTale,2840058,2164318785,Games,B,€822 - €13.2K,€9.9K - €157.8K
Cyprien,12900594,2160138925,Comedy,B+,€5.3K - €84.3K,€63.2K - €1M
Red Bull,8316164,2158786191,Sports,B+,€0 - €0,€0 - €0
JoBlo Movie Trailers,1963352,2154012557,Entertainment,D-,€31.3K - €501.3K,€376K - €6M
OLIE THE CUB,6879666,2152458776,Entertainment,B+,€3.5K - €55.3K,€41.4K - €663.2K
Rainbow Learning,5184504,2151053335,Entertainment,B,€2.1K - €33.6K,€25.2K - €403.3K
ToyMart TV,4460974,2148936084,Entertainment,A-,€12.2K - €194.9K,€146.2K - €2.3M
???? / PockySweets,2475152,2148503841,Games,B+,€8.2K - €130.8K,€98.1K - €1.6M
thelonelyisland,6869584,2146988019,Comedy,B,€2K - €32.3K,€24.2K - €387.8K
TV Thunder Official,3848168,2144307535,Entertainment,A-,€15.1K - €241.7K,€181.3K - €2.9M
lunacreciente,4440415,2143479776,Music,B+,€6.8K - €109.4K,€82.1K - €1.3M
MULTIMEDIOS,1937792,2141396748,Entertainment,B+,€8.6K - €137.9K,€103.4K - €1.7M
AP International,3065763,2133510963,Entertainment,A,€18.5K - €296.2K,€222.1K - €3.6M
Looper,4062243,2132577966,Entertainment,A-,€13.5K - €215.3K,€161.5K - €2.6M
OfficialWhiteMusic,2701114,2132541044,Music,A-,€9.4K - €150.9K,€113.2K - €1.8M
GENIAL,15863053,2131861282,Howto,A,€26.8K - €428.6K,€321.5K - €5.1M
KygoOfficialVEVO,3171609,2127397234,Music,A-,€12.1K - €193K,€144.8K - €2.3M
Alltime10s,5585029,2125249963,Education,B+,€3.2K - €51.3K,€38.5K - €615.6K
Lokdhun Punjabi,6909799,2123517148,Music,A-,€14.5K - €232.6K,€174.4K - €2.8M
Dek Jew Chill Out,2897810,2123077047,People,A-,€9.9K - €157.9K,€118.4K - €1.9M
Disney FR,2352504,2121833275,Film,A,€15.1K - €241.5K,€181.1K - €2.9M
Saregama Music,7864572,2121121355,Music,A,€39.2K - €627.1K,€470.4K - €7.5M
MrBeast,16183853,2116517638,Games,A,€38.9K - €621.7K,€466.3K - €7.5M
???? ????,7158767,2113928175,Howto,A,€22K - €351.4K,€263.5K - €4.2M
HowToBasic,13001875,2113372762,Howto,A-,€13.7K - €219.4K,€164.5K - €2.6M
Thuy Nga,2500675,2109257273,Music,A,€19.9K - €319.1K,€239.3K - €3.8M
JonasBlueVEVO,2173046,2107878002,Music,A,€20.1K - €320.9K,€240.7K - €3.9M
Disney Junior España,2918551,2105304223,Entertainment,A-,€11.3K - €180.9K,€135.7K - €2.2M
BBC Radio 1,5685367,2104425488,Music,B+,€9.1K - €145.1K,€108.8K - €1.7M
Aventura,2317057,2092622335,Music,B+,€6.2K - €99.4K,€74.6K - €1.2M
NORMAN FAIT DES VIDÉOS,11355982,2092065032,Comedy,B+,€6.7K - €107.5K,€80.6K - €1.3M
Sevimli Dostlar,3098811,2091953672,Education,A-,€14.9K - €238.5K,€178.9K - €2.9M
Star Casablanca | ????…,5792752,2090899849,Music,A,€20.7K - €331.6K,€248.7K - €4M
JFlaMusic,11209545,2083548930,Music,A-,€12K - €192.7K,€144.5K - €2.3M
PDK,7863537,2077953312,Entertainment,B+,€5.9K - €94.5K,€70.8K - €1.1M
LetsGoMartin - Nursery Rhymes,7189222,2077833057,Entertainment,A,€27K - €432.1K,€324.1K - €5.2M
ALL THE K-POP,4138569,2075997736,Entertainment,A-,€12.3K - €196.8K,€147.6K - €2.4M
BackstreetBoysVEVO,1932154,2074507831,Music,A-,€12.7K - €202.8K,€152.1K - €2.4M
Flavia Calina,6435577,2070502463,People,B+,€6.8K - €108K,€81K - €1.3M
MikelTube,3361182,2068905195,Entertainment,A,€27.3K - €436.2K,€327.1K - €5.2M
Slogoman,4957803,2066273932,Games,A-,€12.8K - €204.2K,€153.1K - €2.5M
williamVEVO,3972122,2064171716,Music,B,€2.6K - €41.2K,€30.9K - €494K
FAMILY BOX,3260762,2062653612,People,A,€56.7K - €906.6K,€680K - €10.9M
GamingWithKev,4267564,2055055365,Games,A-,€16.3K - €261.2K,€195.9K - €3.1M
AdamThomasMoran,9905468,2053018513,Comedy,B+,€3.6K - €58.1K,€43.6K - €697.1K
Juguetes con Andre,4697598,2050665652,Film,A-,€15.7K - €251.1K,€188.3K - €3M
ZackScottGames,3578418,2047596712,Games,B+,€5.1K - €80.8K,€60.6K - €970K
ONE Media,2051835,2045679251,Film,A-,€10.4K - €165.9K,€124.4K - €2M
djvlad,3078091,2043609607,Entertainment,B+,€9K - €144.5K,€108.4K - €1.7M
Çukur,2932165,2041563807,,A,€33.3K - €532.1K,€399.1K - €6.4M
TobyGames,6485764,2038937791,Games,B-,€169 - €2.7K,€2K - €32.5K
Carinha de Anjo,4577440,2035267348,Entertainment,A-,€14K - €223.6K,€167.7K - €2.7M
??Heopop,3119367,2033421264,Entertainment,B+,€7K - €112.5K,€84.4K - €1.4M
Migos ATL,8224997,2033398103,Music,B+,€7.5K - €120.8K,€90.6K - €1.4M
Manual do Mundo,11847324,2028986599,Tech,B+,€5.5K - €88.2K,€66.2K - €1.1M
Paluten,3237575,2027374885,Games,A-,€11K - €176.7K,€132.5K - €2.1M
Facts Verse,6642755,2020708358,Entertainment,A-,€12.2K - €195.1K,€146.3K - €2.3M
Masha y el Oso,5325152,2019969731,Film,A,€20.6K - €330K,€247.5K - €4M
NellyVEVO,2748941,2008982856,Music,B+,€6.2K - €99.4K,€74.6K - €1.2M
Flow La Movie,5377930,2007438190,People,A,€23.4K - €374.9K,€281.2K - €4.5M
Little Angel: Nursery Rhymes & Kids…,3377211,2005349290,Film,A,€60.9K - €975K,€731.3K - €11.7M
zoom,2856433,2002956086,Entertainment,B+,€7.4K - €117.9K,€88.4K - €1.4M
Chiquititas SBT,3827320,2002655400,Entertainment,B+,€9.7K - €154.4K,€115.8K - €1.9M
Coffi Channel,5566478,2002198733,Games,A-,€11.6K - €185.4K,€139.1K - €2.2M
Paulo Londra,10347099,2000746972,Music,A,€42.1K - €674K,€505.5K - €8.1M
Mickey Mouse,2894204,1990997590,Film,B+,€10.2K - €162.9K,€122.1K - €2M
jacksfilms,4558163,1988959416,Comedy,B+,€5.2K - €82.7K,€62K - €992.6K
Fizzy Toy Show,2419733,1988255532,Entertainment,A-,€9.6K - €153.3K,€115K - €1.8M
KhalidVEVO,2423325,1986863534,Music,A,€40.8K - €652.5K,€489.4K - €7.8M
Liza Koshy,16668809,1985455439,Comedy,B+,€4.7K - €75.7K,€56.7K - €907.9K
Mister Bean Number One Fan in HD -…,5464762,1983782916,Entertainment,A-,€14.5K - €231.9K,€173.9K - €2.8M
RiceGum,10790382,1978790121,Entertainment,B+,€4.1K - €65.4K,€49K - €784.6K
Anand Audio,3608274,1974314417,Entertainment,A,€22.4K - €358.6K,€268.9K - €4.3M
videogamedunkey,5313943,1971134766,Games,B+,€7.2K - €115.4K,€86.6K - €1.4M
TOYSBR Parque dos Brinquedos…,3943110,1970779968,Entertainment,B+,€5.7K - €90.5K,€67.9K - €1.1M
Masha e o Urso,6133516,1969551070,Film,A,€17.2K - €274.6K,€205.9K - €3.3M
infobells - Tamil,3497035,1966114677,Education,A,€18K - €288.4K,€216.3K - €3.5M
Robin Schulz,2730094,1965404386,Entertainment,B+,€7.7K - €123.2K,€92.4K - €1.5M
Ch3Thailand Music,2898808,1965028767,Music,B+,€6.7K - €107K,€80.3K - €1.3M
CreativeKids,2165996,1964751755,Entertainment,A,€22K - €352.7K,€264.5K - €4.2M
GoPro,6745628,1963536111,Sports,B+,€4.4K - €70.8K,€53.1K - €850.2K
Me contro Te,3349146,1961980088,Entertainment,A,€25.9K - €414.9K,€311.2K - €5M
ournameismagicVEVO,2277477,1961080732,Music,B+,€4.4K - €71.1K,€53.3K - €853.3K
camilaVEVO,2057122,1960446929,Music,B+,€5.3K - €85.3K,€64K - €1M
The Game Theorists,11452798,1958614141,Games,B+,€5.8K - €93.4K,€70K - €1.1M
????? ???? | Melon City…,6343226,1958526093,Comedy,A,€30.3K - €485.4K,€364K - €5.8M
Miranda Sings,10522670,1954241197,Entertainment,B+,€5K - €79.4K,€59.6K - €952.8K
Danny Ocean,3233535,1951859143,Music,A-,€11.1K - €177.2K,€132.9K - €2.1M
Fran Nina e Bel para meninas,7011223,1950951381,Entertainment,B+,€5.8K - €93.5K,€70.1K - €1.1M
DashieGames,4742629,1949243909,Games,B+,€5.5K - €88K,€66K - €1.1M
EnzoKnol,2170780,1949084600,Entertainment,B+,€6.7K - €106.8K,€80.1K - €1.3M
TRANS7 OFFICIAL,5068418,1937725491,Entertainment,A,€62.4K - €997.7K,€748.3K - €12M
DAMI AN,4403135,1936757296,Entertainment,B-,€2.1K - €34K,€25.5K - €407.9K
INSIDER,3929615,1935237621,Travel,A,€21.6K - €345.5K,€259.1K - €4.1M
Cantece Gradinita .ro,2104011,1934145589,Film,A-,€15.5K - €248.3K,€186.2K - €3M
Green Day,3534750,1933024914,Music,B+,€7K - €112.8K,€84.6K - €1.4M
Deckdisc,2660357,1932550627,Music,B+,€7K - €112.7K,€84.5K - €1.4M
ExpCaseros,10309570,1929455900,Howto,B+,€5.5K - €88.4K,€66.3K - €1.1M
Strawberry Jam Toys,5261412,1927409436,Entertainment,A,€32.5K - €519.4K,€389.5K - €6.2M
La Voz Kids Colombia,3590732,1927318497,Entertainment,A,€24.4K - €389.9K,€292.4K - €4.7M
EvanescenceVEVO,3342877,1926405118,Music,B+,€5.8K - €92.4K,€69.3K - €1.1M
LOVEiS+,2500949,1925382982,Music,B+,€4.9K - €77.9K,€58.4K - €934.5K
??????????…,9182399,1924794049,Entertainment,A-,€12.2K - €195.9K,€146.9K - €2.4M
UberHaxorNova,3085266,1909180741,Games,B,€1.1K - €17.5K,€13.1K - €209.4K
Elhiwar Ettounsi,2962115,1906572164,Entertainment,A,€27.5K - €439.8K,€329.8K - €5.3M
Gato Galactico,9675738,1906571484,Music,A,€22.1K - €353.1K,€264.9K - €4.2M
UFC - Ultimate Fighting…,6147161,1905260423,Sports,B+,€8.9K - €143.2K,€107.4K - €1.7M
Warner Music Japan,2053097,1904782275,Music,A-,€11.7K - €186.4K,€139.8K - €2.2M
shfa,5301537,1903593857,Film,A,€54K - €864.5K,€648.4K - €10.4M
TheOdd1sOut,10915615,1901866014,Comedy,A,€23.8K - €380.5K,€285.4K - €4.6M
Super Kids TV,3827092,1899473890,Education,B+,€9.6K - €154.3K,€115.7K - €1.9M
LastWeekTonight,6846051,1897947753,Entertainment,A-,€13.3K - €212.4K,€159.3K - €2.5M
Tu COSMOPOLIS,10412418,1896113245,People,A,€24.8K - €396.5K,€297.4K - €4.8M
Maymo,4767878,1886810445,Animals,A,€40.9K - €654K,€490.5K - €7.8M
NeYoVEVO,2404641,1882918652,Music,B+,€4.6K - €72.9K,€54.7K - €875K
LIV Kids Hindi,3542183,1881718555,Entertainment,A,€42.2K - €674.4K,€505.8K - €8.1M
The Q,6761833,1876418644,People,A-,€11.4K - €182.6K,€137K - €2.2M
TV-People,1945837,1876313439,Entertainment,A-,€9.3K - €148.1K,€111.1K - €1.8M
Sen Anlat Karadeniz,3319018,1875033714,,A,€20.4K - €326.2K,€244.6K - €3.9M
Joey Graceffa,8990305,1871446502,People,B+,€2.8K - €44.6K,€33.4K - €535.1K
Madame Récré FR,2007814,1868489302,Entertainment,B+,€8.4K - €134.6K,€100.9K - €1.6M
Saad Lamjarred | ??? ?????,6856842,1865107473,Music,A,€6.9K - €110.1K,€82.6K - €1.3M
Slipknot,4437795,1862456385,Music,B+,€7.1K - €113.4K,€85K - €1.4M
AuronPlay,14592471,1857462281,Comedy,A,€19.9K - €319.1K,€239.4K - €3.8M
5-Minute Crafts GIRLY,12177203,1856502004,Howto,A,€40.8K - €653.1K,€489.8K - €7.8M
LEGENDA FUNK,9458605,1853539258,Music,B-,€11.2K - €178.4K,€133.8K - €2.1M
Princess Bánh Bao,4861957,1852044811,Entertainment,A,€23.8K - €380.3K,€285.2K - €4.6M
ZaraLarssonMusicVEVO,3835208,1851381256,Music,B+,€5.1K - €81K,€60.7K - €971.4K
Mo Vlogs,7205978,1849489153,People,B+,€6.8K - €108.7K,€81.5K - €1.3M
Wish 107.5,4986065,1849042096,Music,A,€28.6K - €457.7K,€343.2K - €5.5M
CartoonKiDS BR,5039117,1847620365,Entertainment,B+,€8.2K - €130.6K,€98K - €1.6M
YouTube,28009035,1845149750,News,B,€1.2K - €18.6K,€13.9K - €222.8K
Super Polina,6806848,1843187739,People,A,€51.8K - €829.1K,€621.8K - €9.9M
JP Plays,6227179,1841186827,Games,A,€19.7K - €315.5K,€236.6K - €3.8M
Robocar POLI TV,2065235,1841081335,Film,A-,€16.8K - €268.7K,€201.5K - €3.2M
Bajan,5945154,1840067149,Games,B,€467 - €7.5K,€5.6K - €89.6K
FallOutBoyVEVO,3747082,1838078192,Music,B+,€4.1K - €65.9K,€49.4K - €790.9K
Toys and Fun,2388799,1836569264,Film,A-,€14.5K - €232.7K,€174.5K - €2.8M
Zic Zic,6679147,1832176309,Education,A-,€16K - €255.9K,€192K - €3.1M
ClevverTV,2405009,1830904244,Entertainment,B,€904 - €14.5K,€10.9K - €173.6K
Zig & Sharko,3879445,1830306149,Film,A,€32.2K - €515.1K,€386.3K - €6.2M
ToyTocToc,5657738,1828019408,Entertainment,A-,€21.9K - €349.9K,€262.4K - €4.2M
????Hikaru?,3011837,1826579492,Entertainment,A-,€10K - €159.5K,€119.6K - €1.9M
KHANDESHI MOVIES,7543656,1824537349,Comedy,A,€59.8K - €956.6K,€717.5K - €11.5M
Izabela Stress,6095383,1822930651,Howto,A,€33.5K - €535.6K,€401.7K - €6.4M
Zee News,7263596,1821053247,News,A,€16.5K - €264.2K,€198.2K - €3.2M
IULITM,3048911,1820454005,Games,B+,€7.3K - €116.1K,€87K - €1.4M
Show TV,2294011,1819370292,Film,A-,€11.1K - €178K,€133.5K - €2.1M
riserecords,2483239,1812811607,Music,B+,€4.1K - €65.6K,€49.2K - €786.7K
OfficialCKanVEVO,4255739,1812552003,Music,B+,€6K - €96.2K,€72.1K - €1.2M
VRZOchannel,5495172,1812348904,Entertainment,B+,€5.1K - €81.7K,€61.3K - €980.8K
Smosh Pit,6133341,1810731631,People,B+,€4.5K - €72K,€54K - €864K
DalasReview,8653113,1809478237,Entertainment,B+,€4.2K - €66.8K,€50.1K - €801.8K
ZEDDVEVO,3984093,1802061652,Music,B+,€4.7K - €75.3K,€56.5K - €904.1K
F2Freestylers - Ultimate Soccer…,9727210,1798861074,Sports,B+,€7.4K - €118.4K,€88.8K - €1.4M
CelineDionVEVO,2084331,1797903580,Music,B+,€6.7K - €107.3K,€80.5K - €1.3M
Blippi Español,4536701,1797887419,Education,A,€25.3K - €405.3K,€304K - €4.9M
Team Edge,5721684,1797487094,Comedy,A-,€14.2K - €226.6K,€170K - €2.7M
aliciakeysVEVO,2519861,1797464770,Music,B+,€7.7K - €123.6K,€92.7K - €1.5M
A&E,2052360,1793285315,Entertainment,A,€28.2K - €451K,€338.3K - €5.4M
OGGY,3376309,1789651072,Film,A-,€11K - €175.3K,€131.5K - €2.1M
Kitchen Nightmares,3350607,1786248076,Entertainment,A-,€11.7K - €186.9K,€140.2K - €2.2M
KBSKpop,3448965,1785838523,Music,A-,€13.3K - €212.2K,€159.2K - €2.5M
MotorTrend Channel,6154525,1784805597,Autos,B,€2.7K - €43.3K,€32.5K - €519.7K
M2,3623747,1783491226,Entertainment,A,€19.8K - €317.1K,€237.8K - €3.8M
Mor Haryanvi,5187805,1781581369,Music,A,€31.7K - €506.5K,€379.9K - €6.1M
ToysYJuguetesTV,5316645,1781475429,Entertainment,B,€6.8K - €108.6K,€81.4K - €1.3M
Yuka Kinoshita?????,5115410,1778478930,Entertainment,B+,€3.9K - €62.9K,€47.2K - €754.5K
Ninja,21759421,1775517995,Games,B+,€11.8K - €189.4K,€142K - €2.3M
Nirahua Music World,3599959,1770576185,Music,A,€21.3K - €340.8K,€255.6K - €4.1M
Latina.pe,2659611,1769104219,People,A,€16.3K - €260.3K,€195.2K - €3.1M
DETONA FUNK,6802178,1767012931,Music,B+,€3.2K - €51.9K,€38.9K - €622.4K
SamsungIndia,2892817,1763688657,Tech,A,€44.3K - €708.6K,€531.5K - €8.5M
serial,2799394,1760131545,Entertainment,B+,€5.9K - €95K,€71.2K - €1.1M
Red Chillies Entertainment,5024740,1754947894,Entertainment,A-,€14.3K - €228.5K,€171.4K - €2.7M
twenty one pilots,8697758,1753619643,Music,A,€17.1K - €274.2K,€205.6K - €3.3M
Rai,2721902,1752900169,Comedy,A,€6.5K - €103.6K,€77.7K - €1.2M
Tauz,8020624,1750149484,Music,B+,€5.1K - €81.1K,€60.8K - €972.8K
Power Vision,5234029,1747809829,Entertainment,A-,€14.4K - €230.6K,€172.9K - €2.8M
AnAn ToysReview TV,2344392,1747379075,Entertainment,B+,€9.8K - €157.2K,€117.9K - €1.9M
CiaraVEVO,2551003,1747253099,Music,B+,€3.5K - €56.5K,€42.4K - €678.1K
Planet Dolan,5786898,1745203497,Education,B,€1.5K - €23.6K,€17.7K - €283K
LipaoGamer,7348239,1742981807,Games,B+,€9.2K - €146.9K,€110.2K - €1.8M
